afsæb	afsæbe		vb.	48006192
afsæt	afsæt		sb.	11000796
afsæt	afsætte		vb.	11000799
afsøg	afsøge		vb.	11000801
afså	afse		vb.	11000650
aftag	aftage		vb.	11000804
aftag	aftag		sb.	11000803
aftal	aftale	2	vb.	11000810
aftap	aftappe		vb.	11000816
aften	aften		sb.	11000821
aftes	aften		sb.	11000821
aftes	aftes		sb.	11000853
aftog	aftage		vb.	11000804
aftør	aftørre		vb.	11000869
afveg	afvige		vb.	11000886
afvej	afveje		vb.	11000879
afvej	afvej		sb.	11000878
afvig	afvige		vb.	11000886
afvig	afvig		sb.	30000002
afvis	afvise		vb.	11000892
afvæn	afvænne		vb.	11000897
afæsk	afæske		vb.	11000903
ag	age		vb.	11000908
Ag	Ag		symbol	46001359
agam	agam		sb.	48005375
agams	agam		sb.	48005375
agape	agape		sb.	11000904
agar	agar		sb.	11000905
agars	agar		sb.	11000905
agat	agat		sb.	11000906
agats	agat		sb.	11000906
agave	agave		sb.	11000907
-age	-age		suffiks	11000909
age	age		vb.	11000908
agede	age		vb.	11000908
-agen	-age		suffiks	11000909
agens	agens		sb.	11000912
agent	agent		sb.	11000913
ager	agere		vb.	11000918
ager	ager		sb.	11000916
-ager	-age		suffiks	11000909
ager	age		vb.	11000908
agere	agere		vb.	11000918
agern	agern		sb.	11000924
agers	ager		sb.	11000916
ages	age		vb.	11000908
aget	age		vb.	11000908
agg-	ad-		præfiks	11000138
agil	agil		adj.	11000937
agile	agil		adj.	11000937
agilt	agil		adj.	11000937
agio	agio		sb.	11000939
agios	agio		sb.	11000939
agn	agne		vb.	51003827
agn	agn		sb.	11000945
agnat	agnat		sb.	49180160
agne	agne		vb.	51003827
agnen	agn		sb.	11000945
agner	agne		vb.	51003827
agnes	agne		vb.	51003827
agnet	agne		vb.	51003827
agns	agn		sb.	11000945
agoni	agoni		sb.	11000950
agora	agora		sb.	11000951
agraf	agraf		sb.	41001386
agrar	agrar	1	sb.	11000954
agrar	agrar	2	adj.	11000955
agre	ager		sb.	11000916
agres	ager		sb.	11000916
agro.	agro.		fork.	11000956
agt	agte		vb.	11000963
agt	agt		sb.	11000961
agte	agte		vb.	11000963
agten	agten		adv.	11000965
agter	agter	1	adj.	11000966
agter	agter	2	adv.	11000967
agter	agte		vb.	11000963
agtes	agte		vb.	11000963
agtet	agte		vb.	11000963
agts	agt		sb.	11000961
agurk	agurk		sb.	11000987
aha	aha		udråbsord	11000991
Ah	Ah		symbol	41001502
ah	ah		udråbsord	11000990
ahorn	ahorn		sb.	11000995
ahr	arh		udråbsord	11002419
AI	AI		fork.	11000998
ai	AI		fork.	11000998
aids	aids		sb.	11000999
aids'	aids		sb.	11000999
aigu	aigu		sb.	41001389
aigus	aigu		sb.	41001389
aioli	aioli		sb.	41001390
aïoli	aioli		sb.	41001390
air	air	1	sb.	11001006
air	air	2	sb.	11001007
airs	air	1	sb.	11001006
airs	air	2	sb.	11001007
ais	ais		sb.	11001012
ais'	ais		sb.	11001012
ajle	ajle		sb.	11001013
ajlen	ajle		sb.	11001013
ajles	ajle		sb.	11001013
ajour	ajour		adj.	11001014
ajvar	ajvar		sb.	49001584
ak	ak		udråbsord	11001016
akk-	ad-		præfiks	11000138
akne	akne		sb.	11001056
aknen	akne		sb.	11001056
aknes	akne		sb.	11001056
akryl	akryl		sb.	11001066
aks	aks		sb.	11001068
aks'	aks		sb.	11001068
akse	akse		sb.	11001069
aksel	aksel		sb.	11001070
aksen	akse		sb.	11001069
akser	akse		sb.	11001069
akses	akse		sb.	11001069
akset	aks		sb.	11001068
aksil	aksil		sb.	41001398
akson	akson		sb.	11001076
akt	akt		sb.	11001077
akten	akt		sb.	11001077
akter	akt		sb.	11001077
aktie	aktie		sb.	11001079
aktiv	aktiv	1	sb.	11001105
aktiv	aktiv	2	adj.	11001106
aktor	aktor		sb.	11001120
akts	akt		sb.	11001077
aktør	aktør		sb.	11001128
akut	akut		adj.	11001135
akuts	akut		adj.	11001135
akva-	akva-		præfiks	11001136
akvæ-	akva-		præfiks	11001136
akvøs	akvøs		adj.	48005341
a la	a la		præp.	11001155
al	al	1	sb.	11001151
-al	-al	1	suffiks	11001152
al	al	2	pron.	11001153
-al	-al	2	suffiks	11001154
Al	Al		symbol	46001361
alarm	alarm		sb.	11001161
alba	alba		sb.	11001171
albas	alba		sb.	11001171
albu	albue	2	vb.	11001178
albue	albue	1	sb.	11001177
albue	albue	2	vb.	11001178
album	album		sb.	11001183
albyl	albyl®		sb.	11001185
alder	alder		sb.	11001190
aldre	alder		sb.	11001190
-ale	-al	1	suffiks	11001152
ale	ale		sb.	41000560
alen	al	1	sb.	11001151
-alen	-al	1	suffiks	11001152
-alen	-al	2	suffiks	11001154
alen	alen		sb.	11001223
alen	ale		sb.	41000560
alene	alene	1	adj.	11001224
alene	alene	2	adv.	11001225
alene	ale		sb.	41000560
alens	al	1	sb.	11001151
alens	alen		sb.	11001223
alens	ale		sb.	41000560
-aler	-al	1	suffiks	11001152
alert	alert		adj.	11001232
ales	ale		sb.	41000560
-alet	-al	1	suffiks	11001152
-alet	-al	2	suffiks	11001154
alfa	alfa		sb.	11001235
alf	alf		sb.	11001234
alfas	alfa		sb.	11001235
alfen	alf		sb.	11001234
alfer	alf		sb.	11001234
alfs	alf		sb.	11001234
alge	alge		sb.	11001251
algen	alge		sb.	11001251
alger	alge		sb.	11001251
alges	alge		sb.	11001251
algod	algod		adj.	11001257
ALGOL	algol		sb.	11001258
algol	algol		sb.	11001258
alhus	alhus		sb.	11001260
alias	alias	1	sb.	41002637
alias	alias	2	adv.	11001261
alibi	alibi		sb.	11001262
alien	alien		sb.	41000977
alk	alk		sb.	11001267
alkan	alkan		sb.	11001272
alke	alk		sb.	11001267
alken	alken		sb.	11001275
alken	alk		sb.	11001267
alker	alk		sb.	11001267
alkes	alk		sb.	11001267
alks	alk		sb.	11001267
alkyd	alkyd		sb.	11001301
alkyn	alkyn		sb.	11001304
all-	ad-		præfiks	11000138
alle	al	2	pron.	11001153
alle	allé		sb.	11001308
allé	allé		sb.	11001308
allel	allel		sb.	41001433
alles	allé		sb.	11001308
allés	allé		sb.	11001308
alm.	alm.		fork.	11001364
almen	almen		adj.	11001368
almue	almue		sb.	11001390
aloe	aloe		sb.	11001395
aloen	aloe		sb.	11001395
aloer	aloe		sb.	11001395
aloes	aloe		sb.	11001395
alp	alp		sb.	11001396
alpen	alp		sb.	11001396
alper	alp		sb.	11001396
alpin	alpin		adj.	11001403
alps	alp		sb.	11001396
alrum	alrum		sb.	11001406
als	al	1	sb.	11001151
ALS	ALS		sb.	45001410
ALS'	ALS		sb.	45001410
als	ALS		sb.	45001410
als'	ALS		sb.	45001410
-alt	-al	1	suffiks	11001152
alt	al	2	pron.	11001153
alt	alt	1	sb.	11001415
alt	alt	2	sb.	11001416
alt	alt	3	sb.	30000264
alt	alt	4	adv.	11001417
Alt	alt		sb.	30000264
altan	altan		sb.	11001420
alten	alt	1	sb.	11001415
alter	alt	1	sb.	11001415
alter	alter		sb.	11001425
altet	alt	2	sb.	11001416
altid	altid		adv.	11001443
altre	alter		sb.	11001425
alts	alt	1	sb.	11001415
alts	alt	2	sb.	11001416
Alts	alt		sb.	30000264
alts	alt		sb.	30000264
altså	altså		adv.	11001460
alu-	alu-		præfiks	11001464
alun	alun		sb.	11001469
aluns	alun		sb.	11001469
alvor	alvor		sb.	11001474
AM	AM		fork.	11001479
am	AM		fork.	11001479
am.	am.		fork.	11001480
am	amme	2	vb.	11001546
Am	Am		symbol	41001861
ama'r	amager		udråbsord	11001481
ambi	ambi		sb.	11001505
ambis	ambi		sb.	11001505
ambra	ambra		sb.	11001515
AMD	AMD		sb.	41003134
amd	AMD		sb.	41003134
AMDs	AMD		sb.	41003134
amds	AMD		sb.	41003134
amen	amen		udråbsord	11001525
amer.	amer.		fork.	11001527
amf	amf		sb.	41000599
amfen	amf		sb.	41000599
amfet	amf		sb.	41000599
amfs	amf		sb.	41000599
amid	amid		sb.	11001541
amids	amid		sb.	11001541
amin	amin		sb.	11001542
amins	amin		sb.	11001542
AMiR	AMR		sb.	41000916
amish	amish		sb.	41000807
amme	amme	1	sb.	11001545
amme	amme	2	vb.	11001546
ammen	amme	1	sb.	11001545
ammer	amme	1	sb.	11001545
ammer	amme	2	vb.	11001546
ammes	amme	1	sb.	11001545
ammes	amme	2	vb.	11001546
ammet	amme	2	vb.	11001546
AMO	AMO		sb.	41000917
amo	AMO		sb.	41000917
amok	amok		adj.	11001561
a-mol	a-mol		sb.	11001562
amorf	amorf		adj.	11001566
AMO's	AMO		sb.	41000917
amo's	AMO		sb.	41000917
amour	amour		sb.	11001570
ampel	ampel		sb.	11001572
ampul	ampul		sb.	11001578
amr.	amr.		fork.	11001581
AMR	AMR		sb.	41000916
amr	AMR		sb.	41000916
AMR's	AMR		sb.	41000916
amr's	AMR		sb.	41000916
amt	amt		sb.	11001582
amter	amt		sb.	11001582
amtet	amt		sb.	11001582
amts	amt		sb.	11001582
AMU	AMU		fork.	11001600
amu	AMU		fork.	11001600
amøbe	amøbe		sb.	11001604
ana-	ana-		præfiks	11001609
anal	anal		adj.	11001621
anale	anal		adj.	11001621
